root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
15:45:15.910486 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2970755848:2970755956, ack 2227369006, win 501, length 108
15:45:16.024419 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 68804:68960, ack 37, win 501, length 156
15:45:16.024504 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 61888, win 18769, length 0
15:45:16.024715 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 68960:69220, ack 37, win 501, length 260
15:45:16.024919 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 69220:69376, ack 37, win 501, length 156
15:45:16.025108 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 69376:69532, ack 37, win 501, length 156
15:45:16.025296 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 69532:69688, ack 37, win 501, length 156
15:45:16.025470 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 69688:69844, ack 37, win 501, length 156
15:45:16.025641 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 69844:70000, ack 37, win 501, length 156
15:45:16.025828 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 70000:70156, ack 37, win 501, length 156
15:45:16.026013 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 70156:70312, ack 37, win 501, length 156
15:45:16.026186 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 70312:70468, ack 37, win 501, length 156
15:45:16.026362 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 70468:70624, ack 37, win 501, length 156
15:45:16.026559 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 70624:70780, ack 37, win 501, length 156
15:45:16.026741 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 70780:70936, ack 37, win 501, length 156
15:45:16.026925 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 70936:71092, ack 37, win 501, length 156
15:45:16.027128 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 71092:71248, ack 37, win 501, length 156
15:45:16.027308 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 71248:71404, ack 37, win 501, length 156
15:45:16.027482 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 71404:71560, ack 37, win 501, length 156
15:45:16.027700 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 71560:71716, ack 37, win 501, length 156
15:45:16.027890 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 71716:71872, ack 37, win 501, length 156
15:45:16.028070 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 71872:72028, ack 37, win 501, length 156
15:45:16.028255 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 72028:72184, ack 37, win 501, length 156
15:45:16.028429 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 72184:72340, ack 37, win 501, length 156
15:45:16.028619 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 72340:72496, ack 37, win 501, length 156
15:45:16.028815 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 72496:72652, ack 37, win 501, length 156
15:45:16.029016 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 72652:72808, ack 37, win 501, length 156
15:45:16.029258 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 72808:72964, ack 37, win 501, length 156
15:45:16.029515 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 72964:73120, ack 37, win 501, length 156
15:45:16.029727 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 73120:73276, ack 37, win 501, length 156
15:45:16.029916 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 73276:73432, ack 37, win 501, length 156
15:45:16.030092 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 73432:73588, ack 37, win 501, length 156
15:45:16.030282 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 73588:73744, ack 37, win 501, length 156
15:45:16.030464 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 73744:73900, ack 37, win 501, length 156
15:45:16.030668 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 73900:74056, ack 37, win 501, length 156
15:45:16.030852 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 74056:74212, ack 37, win 501, length 156
15:45:16.031071 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 74212:74368, ack 37, win 501, length 156
15:45:16.031249 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 74368:74524, ack 37, win 501, length 156
15:45:16.031420 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 74524:74680, ack 37, win 501, length 156
15:45:16.031625 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 74680:74836, ack 37, win 501, length 156
15:45:16.031849 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 74836:74992, ack 37, win 501, length 156
15:45:16.032035 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 74992:75148, ack 37, win 501, length 156
15:45:16.032208 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 75148:75304, ack 37, win 501, length 156
15:45:16.032383 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 75304:75460, ack 37, win 501, length 156
15:45:16.032555 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 75460:75616, ack 37, win 501, length 156
15:45:16.032739 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 75616:75772, ack 37, win 501, length 156
15:45:16.032937 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 75772:75928, ack 37, win 501, length 156
15:45:16.033124 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 75928:76084, ack 37, win 501, length 156
15:45:16.033301 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 76084:76240, ack 37, win 501, length 156
15:45:16.033492 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 76240:76396, ack 37, win 501, length 156
15:45:16.033670 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 76396:76552, ack 37, win 501, length 156
15:45:16.033856 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 76552:76708, ack 37, win 501, length 156
15:45:16.034046 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 76708:76864, ack 37, win 501, length 156
15:45:16.034218 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 76864:77020, ack 37, win 501, length 156
15:45:16.034389 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 77020:77176, ack 37, win 501, length 156
15:45:16.034529 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 68492, win 18769, length 0
15:45:16.034740 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 77176:77436, ack 37, win 501, length 260
15:45:16.034930 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 77436:77592, ack 37, win 501, length 156
15:45:16.035152 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 77592:77748, ack 37, win 501, length 156
15:45:16.035342 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 77748:77904, ack 37, win 501, length 156
15:45:16.035520 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 77904:78060, ack 37, win 501, length 156
15:45:16.035746 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 78060:78216, ack 37, win 501, length 156
15:45:16.035933 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 78216:78372, ack 37, win 501, length 156
15:45:16.036125 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 78372:78528, ack 37, win 501, length 156
15:45:16.036305 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 78528:78684, ack 37, win 501, length 156
15:45:16.036486 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 78684:78840, ack 37, win 501, length 156
15:45:16.036676 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 78840:78996, ack 37, win 501, length 156
15:45:16.036865 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 78996:79152, ack 37, win 501, length 156
15:45:16.037052 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 79152:79308, ack 37, win 501, length 156
15:45:16.037227 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 79308:79464, ack 37, win 501, length 156
15:45:16.037403 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 79464:79620, ack 37, win 501, length 156
15:45:16.037619 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 79620:79776, ack 37, win 501, length 156
15:45:16.037814 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 79776:79932, ack 37, win 501, length 156
15:45:16.038027 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 79932:80088, ack 37, win 501, length 156
15:45:16.038205 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 80088:80244, ack 37, win 501, length 156
15:45:16.038409 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 80244:80400, ack 37, win 501, length 156
15:45:16.038599 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 80400:80556, ack 37, win 501, length 156
15:45:16.038784 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 80556:80712, ack 37, win 501, length 156
15:45:16.038970 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 80712:80868, ack 37, win 501, length 156
15:45:16.039195 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 80868:81024, ack 37, win 501, length 156
15:45:16.039386 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 81024:81180, ack 37, win 501, length 156
15:45:16.039567 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 81180:81336, ack 37, win 501, length 156
15:45:16.039805 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 81336:81492, ack 37, win 501, length 156
15:45:16.039927 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 70780, win 18774, length 0
15:45:16.039973 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 75616, win 18769, length 0
15:45:16.040008 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 75928, win 18774, length 0
15:45:16.040248 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 81492:81960, ack 37, win 501, length 468
15:45:16.040448 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 81960:82116, ack 37, win 501, length 156
15:45:16.040632 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 82116:82272, ack 37, win 501, length 156
15:45:16.040824 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 82272:82428, ack 37, win 501, length 156
15:45:16.041000 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 82428:82584, ack 37, win 501, length 156
15:45:16.041173 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 82584:82740, ack 37, win 501, length 156
15:45:16.041352 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 82740:82896, ack 37, win 501, length 156
15:45:16.041528 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 82896:83052, ack 37, win 501, length 156
15:45:16.041721 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 83052:83208, ack 37, win 501, length 156
15:45:16.041958 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 83208:83364, ack 37, win 501, length 156
15:45:16.042150 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 83364:83520, ack 37, win 501, length 156
15:45:16.042331 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 83520:83676, ack 37, win 501, length 156
15:45:16.042518 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 83676:83832, ack 37, win 501, length 156
15:45:16.042699 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 83832:83988, ack 37, win 501, length 156
15:45:16.042902 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 83988:84144, ack 37, win 501, length 156
15:45:16.043108 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 84144:84300, ack 37, win 501, length 156
15:45:16.043287 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 84300:84456, ack 37, win 501, length 156
15:45:16.043468 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 84456:84612, ack 37, win 501, length 156
15:45:16.043680 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 84612:84768, ack 37, win 501, length 156
15:45:16.043870 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 84768:84924, ack 37, win 501, length 156
15:45:16.044047 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 84924:85080, ack 37, win 501, length 156
15:45:16.044230 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 85080:85236, ack 37, win 501, length 156
15:45:16.044415 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 85236:85392, ack 37, win 501, length 156
15:45:16.044597 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 85392:85548, ack 37, win 501, length 156
15:45:16.044638 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 77176, win 18769, length 0
15:45:16.044865 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 85548:85808, ack 37, win 501, length 260
15:45:16.045049 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 85808:85964, ack 37, win 501, length 156
15:45:16.045239 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 85964:86120, ack 37, win 501, length 156
15:45:16.045422 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 86120:86276, ack 37, win 501, length 156
15:45:16.045615 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 86276:86432, ack 37, win 501, length 156
15:45:16.045814 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 86432:86588, ack 37, win 501, length 156
15:45:16.045991 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 86588:86744, ack 37, win 501, length 156
15:45:16.046188 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 86744:86900, ack 37, win 501, length 156
15:45:16.046365 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 86900:87056, ack 37, win 501, length 156
15:45:16.046559 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 87056:87212, ack 37, win 501, length 156
15:45:16.046743 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 87212:87368, ack 37, win 501, length 156
15:45:16.046928 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 87368:87524, ack 37, win 501, length 156
15:45:16.047186 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 87524:87680, ack 37, win 501, length 156
15:45:16.047536 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 87680:87836, ack 37, win 501, length 156
15:45:16.047780 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 87836:87992, ack 37, win 501, length 156
15:45:16.047966 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 87992:88148, ack 37, win 501, length 156
15:45:16.048151 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 88148:88304, ack 37, win 501, length 156
15:45:16.048341 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 88304:88460, ack 37, win 501, length 156
15:45:16.048521 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 88460:88616, ack 37, win 501, length 156
15:45:16.048700 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 88616:88772, ack 37, win 501, length 156
15:45:16.048891 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 88772:88928, ack 37, win 501, length 156
15:45:16.049064 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 88928:89084, ack 37, win 501, length 156
15:45:16.049187 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 79308, win 18774, length 0
15:45:16.049353 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 89084:89344, ack 37, win 501, length 260
15:45:16.049548 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 89344:89500, ack 37, win 501, length 156
15:45:16.049744 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 89500:89656, ack 37, win 501, length 156
15:45:16.049936 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 89656:89812, ack 37, win 501, length 156
15:45:16.050120 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 89812:89968, ack 37, win 501, length 156
15:45:16.050314 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 89968:90124, ack 37, win 501, length 156
15:45:16.050505 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 90124:90280, ack 37, win 501, length 156
15:45:16.050713 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 90280:90436, ack 37, win 501, length 156
15:45:16.050950 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 90436:90592, ack 37, win 501, length 156
15:45:16.051211 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 90592:90748, ack 37, win 501, length 156
15:45:16.051408 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 90748:90904, ack 37, win 501, length 156
15:45:16.051589 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 90904:91060, ack 37, win 501, length 156
15:45:16.051840 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 91060:91216, ack 37, win 501, length 156
15:45:16.052021 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 91216:91372, ack 37, win 501, length 156
15:45:16.052200 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 91372:91528, ack 37, win 501, length 156
15:45:16.052376 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 91528:91684, ack 37, win 501, length 156
15:45:16.052556 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 91684:91840, ack 37, win 501, length 156
15:45:16.052742 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 91840:91996, ack 37, win 501, length 156
15:45:16.052931 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 91996:92152, ack 37, win 501, length 156
15:45:16.053110 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 92152:92308, ack 37, win 501, length 156
15:45:16.053287 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 92308:92464, ack 37, win 501, length 156
15:45:16.053467 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 92464:92620, ack 37, win 501, length 156
15:45:16.053661 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 92620:92776, ack 37, win 501, length 156
15:45:16.053859 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 92776:92932, ack 37, win 501, length 156
15:45:16.054034 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 92932:93088, ack 37, win 501, length 156
15:45:16.054216 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 93088:93244, ack 37, win 501, length 156
15:45:16.054391 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 93244:93400, ack 37, win 501, length 156
15:45:16.054558 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 93400:93556, ack 37, win 501, length 156
15:45:16.054743 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 93556:93712, ack 37, win 501, length 156
15:45:16.054919 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 93712:93868, ack 37, win 501, length 156
15:45:16.055120 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 83988, win 18771, length 0
15:45:16.055183 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 88460, win 18773, length 0
15:45:16.055254 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 93868:94024, ack 37, win 501, length 156
15:45:16.055509 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 94024:94388, ack 37, win 501, length 364
15:45:16.055721 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 94388:94544, ack 37, win 501, length 156
15:45:16.055896 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 94544:94700, ack 37, win 501, length 156
15:45:16.056065 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 94700:94856, ack 37, win 501, length 156
15:45:16.056244 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 94856:95012, ack 37, win 501, length 156
15:45:16.056437 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 95012:95168, ack 37, win 501, length 156
15:45:16.056637 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 95168:95324, ack 37, win 501, length 156
15:45:16.056839 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 95324:95480, ack 37, win 501, length 156
15:45:16.057067 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 95480:95636, ack 37, win 501, length 156
15:45:16.057261 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 95636:95792, ack 37, win 501, length 156
15:45:16.057451 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 95792:95948, ack 37, win 501, length 156
15:45:16.057643 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 95948:96104, ack 37, win 501, length 156
15:45:16.057852 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 96104:96260, ack 37, win 501, length 156
15:45:16.058050 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 96260:96416, ack 37, win 501, length 156
15:45:16.058248 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 96416:96572, ack 37, win 501, length 156
15:45:16.058483 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 96572:96728, ack 37, win 501, length 156
15:45:16.058693 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 96728:96884, ack 37, win 501, length 156
15:45:16.058900 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 96884:97040, ack 37, win 501, length 156
15:45:16.059165 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 97040:97196, ack 37, win 501, length 156
15:45:16.059356 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 97196:97352, ack 37, win 501, length 156
15:45:16.059556 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 97352:97508, ack 37, win 501, length 156
15:45:16.059803 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 97508:97664, ack 37, win 501, length 156
15:45:16.060021 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 97664:97820, ack 37, win 501, length 156
15:45:16.060221 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 97820:97976, ack 37, win 501, length 156
15:45:16.060418 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 97976:98132, ack 37, win 501, length 156
15:45:16.060650 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 98132:98288, ack 37, win 501, length 156
15:45:16.060871 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 98288:98444, ack 37, win 501, length 156
15:45:16.061087 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 98444:98600, ack 37, win 501, length 156
15:45:16.061312 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 98600:98756, ack 37, win 501, length 156
15:45:16.061526 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 98756:98912, ack 37, win 501, length 156
15:45:16.061734 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 98912:99068, ack 37, win 501, length 156
15:45:16.061966 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 99068:99224, ack 37, win 501, length 156
15:45:16.062178 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 99224:99380, ack 37, win 501, length 156
15:45:16.062393 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 99380:99536, ack 37, win 501, length 156
15:45:16.062611 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 91216, win 18774, length 0
15:45:16.062646 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 99536:99692, ack 37, win 501, length 156
15:45:16.062906 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 99692:99952, ack 37, win 501, length 260
15:45:16.063160 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 99952:100108, ack 37, win 501, length 156
15:45:16.063391 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 100108:100264, ack 37, win 501, length 156
15:45:16.063585 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 94388, win 18769, length 0
15:45:16.063822 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 100264:100524, ack 37, win 501, length 260
15:45:16.064018 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 100524:100680, ack 37, win 501, length 156
15:45:16.064243 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 100680:100836, ack 37, win 501, length 156
15:45:16.064473 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 100836:100992, ack 37, win 501, length 156
15:45:16.064578 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 94856, win 18774, length 0
15:45:16.064775 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 100992:101252, ack 37, win 501, length 260
15:45:16.064973 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 101252:101408, ack 37, win 501, length 156
15:45:16.065158 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 101408:101564, ack 37, win 501, length 156
15:45:16.065358 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 101564:101720, ack 37, win 501, length 156
15:45:16.065547 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 101720:101876, ack 37, win 501, length 156
15:45:16.065759 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 101876:102032, ack 37, win 501, length 156
